"UKPRN","Name of provider","Digital sector: Digital production, design and development T Level","Construction sector: Design, Surveying and Planning T Level","Education and Childcare sector: Education T Level","Address line 1","Address line 2","Town or city","County","Postcode","T Levels contact name","T Levels contact telephone","T Levels contact email","Onboarded by email?"
10000080,"Access Creative College (Access to Music Ltd.)","X"," "," ",,,,,,,,,
10000536,"Barnsley College","X","X","X",,,,,,,,,
10000612,"Bedfordshire & Luton Education Business Partnership","X"," "," ",,,,,,,,,
10000721,"Bishop Burton College"," "," ","X",,,,,,,,,
10000754,"Blackpool and The Fylde College","X","X","X",,,,,,,,,
10000878,"Bridgwater & Taunton College","X","X","X",,,,,,,,,
10001165,"Cardinal Newman College","X"," ","X",,,,,,,,,
10007817,"Chichester College Group","X","X","X",,,,,,,,,
10001446,"Cirencester College","X","X","X",,,,,,,,,
10004772,"City College Norwich","X","X","X",,,,,,,,,
11003648,"City of Stoke-on-Trent Sixth Form College","X"," "," ",,,,,,,,,
11002847,"Cranford Community College","X"," ","X",,,,,,,,,
10001919,"Derby College","X","X","X",,,,,,,,,
10007924,"Dudley College of Technology","X","X","X",,,,,,,,,
11000813,"Durham Sixth Form Centre","X"," "," ",,,,,,,,,
10002130,"East Sussex College Group","X","X","X",,,,,,,,,
10002370,"Exeter College","X","X","X",,,,,,,,,
10007928,"Fareham College","X"," ","X",,,,,,,,,
10002412,"Farnborough College of Technology","X"," ","X",,,,,,,,,
10002638,"Gateshead College","X"," ","X",,,,,,,,,
10007938,"Grimsby Institute of Further & Higher Education"," "," ","X",,,,,,,,,
10002929,"Havant and South Downs College","X","X","X",,,,,,,,,
11000732,"HCUC","X"," ","X",,,,,,,,,
11009254,"La Retraite RC Girls School","X"," ","X",,,,,,,,,
11005738,"Lordswood Girls’ School & Sixth Form Centre"," "," ","X",,,,,,,,,
10004552,"Nelson and Colne College","X"," ","X",,,,,,,,,
10004576,"New College Durham","X","X","X",,,,,,,,,
11003827,"Notre Dame Catholic Sixth Form College","X"," "," ",,,,,,,,,
11005483,"Oldham Sixth Form College","X"," "," ",,,,,,,,,
11005398,"Painsley Catholic College","X"," "," ",,,,,,,,,
10005072,"Peter Symonds College"," "," ","X",,,,,,,,,
10005206,"Priestley College","X"," ","X",,,,,,,,,
10005575,"Runshaw College","X"," "," ",,,,,,,,,
11009090,"Salesian School","X"," ","X",,,,,,,,,
10005669,"Sandwell Academy","X"," "," ",,,,,,,,,
10005687,"Scarborough Sixth Form College","X","X","X",,,,,,,,,
10005810,"Shipley College of Further Education","X"," ","X",,,,,,,,,
10036413,"St Thomas More Catholic School","X"," ","X",,,,,,,,,
10006378,"Strode College","X"," ","X",,,,,,,,,
10006398,"Suffolk New College"," ","X"," ",,,,,,,,,
10001550,"The College of Richard Collyer","X"," ","X",,,,,,,,,
11001237,"The Leigh UTC","X"," "," ",,,,,,,,,
11000236,"Thorpe St Andrew School and Sixth Form","X"," ","X",,,,,,,,,
10007063,"Truro and Penwith College","X","X","X",,,,,,,,,
10000712,"University College Birmingham"," "," ","X",,,,,,,,,
11004378,"Ursuline High School","X"," "," ",,,,,,,,,
10007315,"Walsall College","X","X","X",,,,,,,,,
11002387,"Walsall Studio School","X"," "," ",,,,,,,,,
10007459,"Weston College","X"," "," ",,,,,,,,,
10007709,"York College","X","X","X",,,,,,,,,
