Route	Pathway	StartYear	EndYear	Status	AO
Construction	Design, Surveying and Planning	2020	2022	In development	Pearson
Education & Childcare	Education	2020	2022	In development	NCFE
Digital	Digital Production, Design and Development	2020	2022	In development	Pearson
Construction	Onsite Construction	2021	2023	Invitation to tender	Not decided
Construction	Building Services Engineering	2021	2023	Invitation to tender	Not decided
Digital	Digital Support & Services	2021	2023	Invitation to tender	Not decided
Digital	Digital Business Services	2021	2023	Invitation to tender	Not decided
Health & Science	Health	2021	2023	Invitation to tender	Not decided
Health & Science	Healthcare Science	2021	2023	Invitation to tender	Not decided
Health & Science	Science	2021	2023	Invitation to tender	Not decided
Legal, Finance and Accounting	Financial	2022	2024	Consultation closed	Not decided
Legal, Finance and Accounting	Legal	2022	2024	Consultation closed	Not decided
Legal, Finance and Accounting	Accountancy	2022	2024	Consultation closed	Not decided
