Route	Pathway	StartYear	EndYear	Status	AO	Status
Construction	Design, Surveying and Planning	2020	2022	In development	Pearson	Unverified
Education & Childcare	Education	2020	2022	In development	NCFE	Unverified
Digital	Digital Production, Design and Development	2020	2022	In development	Pearson	Unverified
Construction	Onsite Construction	2021	2023	Invitation to tender	Not decided	Unverified
Construction	Building Services Engineering	2021	2023	Invitation to tender	Not decided	Unverified
Digital	Digital Support & Services	2021	2023	Invitation to tender	Not decided	Unverified
Digital	Digital Business Services	2021	2023	Invitation to tender	Not decided	Unverified
Health & Science	Health	2021	2023	Invitation to tender	Not decided	Unverified
Health & Science	Healthcare Science	2021	2023	Invitation to tender	Not decided	Unverified
Health & Science	Science	2021	2023	Invitation to tender	Not decided	Unverified
Legal, Finance and Accounting	Financial	2022	2024	Consultation closed	Not decided	Unverified
Legal, Finance and Accounting	Legal	2022	2024	Consultation closed	Not decided	Unverified
Legal, Finance and Accounting	Accountancy	2022	2024	Consultation closed	Not decided	Unverified
